Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,ShotPassLive,ShotPassDead,ShotDrib,ShotSh,ShotFoul,GCA,GCA90,GoalPassLive,GoalPassDead,GoalDrib,GoalSh,GoalFoul,GoalOG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,2.22,2.23,1.15,0.82,0.11,0.07,0.07,0.18,0.18,0.11,0.04,0.04,0.00,0.00,0.00,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1.50,1.50,1.17,0.06,0.08,0.08,0.11,0.08,0.08,0.03,0.03,0.00,0.00,0.03,0.00,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0.57,0.57,0.39,0.00,0.00,0.14,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,1.18,1.15,0.59,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,2.23,2.23,1.34,0.69,0.05,0.10,0.05,0.20,0.20,0.10,0.05,0.00,0.05,0.00,0.00,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,1.74,1.73,1.16,0.00,0.00,0.00,0.58,0.14,0.14,0.00,0.00,0.00,0.00,0.14,0.00,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,0.59,0.59,0.53,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,1.91,1.91,1.34,0.00,0.24,0.24,0.08,0.41,0.41,0.16,0.00,0.12,0.08,0.04,0.00,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,1.35,1.36,1.08,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,0.77,0.77,0.68,0.00,0.03,0.03,0.03,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,1.95,1.94,1.22,0.00,0.24,0.16,0.33,0.41,0.41,0.16,0.00,0.08,0.00,0.16,0.00,Matches
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,1.70,1.70,1.32,0.09,0.00,0.19,0.09,0.19,0.19,0.09,0.00,0.00,0.00,0.09,0.00,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,2.41,2.41,1.93,0.00,0.12,0.12,0.24,0.48,0.48,0.36,0.00,0.00,0.00,0.12,0.00,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,2.86,2.87,1.43,0.00,0.00,0.48,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0.38,0.39,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,6.00,5.87,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,3.27,3.26,2.21,0.44,0.35,0.18,0.09,0.62,0.62,0.27,0.09,0.18,0.09,0.00,0.00,Matches
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,0.87,0.87,0.43,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1.64,1.65,1.14,0.20,0.10,0.05,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,0.99,0.99,0.77,0.04,0.09,0.00,0.09,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,Matches
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,2.50,2.65,2.50,0.00,0.00,0.00,0.00,1.25,1.32,1.25,0.00,0.00,0.00,0.00,0.00,Matches
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,8.57,8.44,5.71,0.00,2.86,0.00,0.00,1.43,1.41,1.43,0.00,0.00,0.00,0.00,0.00,Matches
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,3.65,3.65,2.84,0.00,0.68,0.00,0.14,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,0.28,0.28,0.28,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,3.17,3.16,1.74,0.00,0.56,0.56,0.31,0.50,0.50,0.25,0.00,0.06,0.12,0.06,0.00,Matches
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,1.93,1.93,1.85,0.00,0.00,0.00,0.08,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,1.15,1.17,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,1.29,1.29,1.00,0.00,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0.47,0.47,0.32,0.04,0.04,0.07,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1.95,1.95,1.08,0.48,0.17,0.00,0.22,0.30,0.30,0.13,0.09,0.00,0.00,0.09,0.00,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,1.50,1.51,1.50,0.00,0.00,0.00,0.00,0.33,0.34,0.33,0.00,0.00,0.00,0.00,0.00,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,1.48,1.47,1.20,0.21,0.00,0.00,0.07,0.28,0.28,0.28,0.00,0.00,0.00,0.00,0.00,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,1.33,1.29,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,1.53,1.53,1.18,0.00,0.13,0.13,0.09,0.44,0.44,0.26,0.00,0.04,0.04,0.09,0.00,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0.39,0.39,0.35,0.04,0.00,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,3.64,3.64,2.73,0.00,0.91,0.00,0.00,0.91,0.91,0.91,0.00,0.00,0.00,0.00,0.00,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,0.47,0.47,0.25,0.00,0.04,0.14,0.04,0.07,0.07,0.04,0.00,0.00,0.04,0.00,0.00,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,2.33,2.32,1.50,0.00,0.33,0.33,0.17,0.50,0.50,0.17,0.00,0.17,0.17,0.00,0.00,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0.31,0.32,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
