Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdYp90,CrdRp90,2CrdYp90,FlsCommittedp90,FlsDrawnp90,Offp90,Crsp90,Interceptionsp90,TklWp90,PKwonp90,PKconp90,OGCondededp90,RecovBalls,WonAerialp90,LostAerialp90,WonAerial%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0.00,0.00,0.00,0.32,0.29,0.07,3.15,1.65,1.15,0.00,0.00,0.04,243,0.43,0.61,41.4,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,0.19,0.00,0.00,0.81,1.36,0.08,2.00,0.97,1.00,0.03,0.00,0.00,281,0.64,1.17,35.4,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0.00,0.00,0.00,0.75,0.71,0.00,0.04,1.75,1.32,0.00,0.04,0.00,226,3.07,1.50,67.2,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,0.59,0.00,0.00,0.00,0.00,1.76,4.71,0.59,0.59,0.00,0.00,0.00,15,3.53,6.47,35.3,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,0.25,0.00,0.00,2.72,2.13,0.05,3.07,1.09,2.03,0.00,0.05,0.00,194,0.69,0.94,42.4,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0.29,0.00,0.00,2.32,1.45,1.01,0.43,0.43,1.16,0.14,0.00,0.00,25,3.91,5.65,40.9,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,0.11,0.05,0.00,0.74,0.64,0.00,0.48,1.22,1.17,0.00,0.00,0.00,224,2.71,1.70,61.4,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,0.08,0.00,0.00,0.69,0.98,0.93,0.41,0.20,0.41,0.04,0.00,0.04,95,2.72,4.51,37.6,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0.41,0.00,0.00,2.30,1.62,0.00,0.95,0.95,1.76,0.00,0.00,0.00,84,1.62,1.22,57.1,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,0.11,0.00,0.00,0.71,1.17,0.14,0.74,1.20,0.94,0.03,0.00,0.00,356,2.08,1.00,67.6,Matches
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,0.00,0.00,0.00,1.38,1.30,0.81,1.14,0.16,0.49,0.08,0.00,0.00,73,2.36,6.99,25.2,Matches
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,0.00,0.00,0.00,0.85,1.51,0.00,0.94,1.23,1.13,0.00,0.00,0.00,106,0.94,1.51,38.5,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,0.12,0.00,0.00,1.45,0.84,0.84,1.33,0.24,0.48,0.12,0.00,0.00,47,1.69,4.82,25.9,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,,Matches
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,0.48,0.00,0.00,0.95,1.43,0.48,0.48,1.43,1.43,0.00,0.00,0.00,10,0.48,2.86,14.3,Matches
