Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,G+Ap90,G-PKp90,G+A-PKp90,xG,npxG,xA,xGp90,xAp90,xG+xAp90,npxGp90,npxG+xAp90,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,2507,3,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.3,1.6,3.1,0.08,0.11,0.19,0.06,0.17,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,0,1,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,3.4,0.01,0.09,0.11,0.01,0.11,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,3,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.1,0.05,0.00,0.05,0.05,0.05,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,6,1,157,1,0,0,0,1,0,0.57,0.00,0.57,0.57,0.57,1.3,1.3,0.2,0.72,0.10,0.82,0.72,0.82,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,1,2,0,0,5,0,0.05,0.10,0.15,0.05,0.15,1.6,1.6,1.4,0.08,0.07,0.15,0.08,0.15,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,0.03,0.16,0.19,0.03,0.19,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,1688,2,0,0,0,2,1,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.1,0.07,0.00,0.08,0.07,0.08,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,15,3,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.5,14.5,2.6,0.59,0.10,0.69,0.59,0.69,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.05,0.02,0.07,0.05,0.07,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,0.06,0.05,0.10,0.06,0.10,Matches
