Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TotalPassAttempted,Live,DeadBallPasses,FK,ThroughBallp90,PassUnderPress,Switches,Crs,CK,In,Out,Str,GroundPasses,LowPasses,HighPasses,LeftFootPasses,RightFootPasses,Head,TI,Other,TotalPassCompleted,Off,Out,PassesInt,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,55.8,42.1,13.7,2.22,0.00,7.96,1.25,3.15,1.61,0.82,0.54,0.11,33.3,11.5,11.0,35.7,9.18,0.75,9.86,0.11,44.0,0.29,0.50,1.29,1.68,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,46.8,37.7,9.11,0.75,0.03,8.08,0.28,2.00,0.00,0.00,0.00,0.00,28.3,10.9,7.64,6.08,30.6,1.25,8.36,0.06,36.6,0.00,0.92,0.61,1.94,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,54.1,51.3,2.79,2.68,0.04,6.57,1.75,0.04,0.00,0.00,0.00,0.00,40.8,5.04,8.29,36.0,14.7,2.36,0.11,0.11,47.4,0.11,0.75,0.89,0.43,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,23.5,23.5,0.00,0.00,0.00,4.71,1.18,4.71,0.00,0.00,0.00,0.00,12.4,5.29,5.88,4.71,13.5,2.94,0.00,0.00,10.6,0.00,0.59,0.59,3.53,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,47.4,42.8,4.60,2.08,0.05,7.77,2.48,3.07,2.33,0.79,0.79,0.35,33.9,5.59,7.92,5.15,39.0,2.08,0.20,0.40,39.7,0.15,1.14,0.54,0.59,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,19.1,17.4,1.74,0.00,0.14,7.68,0.14,0.43,0.00,0.00,0.00,0.00,10.0,5.51,3.62,11.3,2.32,1.59,0.00,0.72,10.7,0.14,0.43,0.43,1.30,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,47.7,44.8,2.82,1.22,0.00,7.23,1.76,0.48,0.00,0.00,0.00,0.00,30.9,7.13,9.68,5.90,35.8,2.55,1.60,0.32,39.5,0.05,1.06,0.85,0.43,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,16.7,14.6,2.11,0.00,0.00,6.06,0.20,0.41,0.00,0.00,0.00,0.00,10.5,3.29,2.93,1.26,12.4,0.69,0.00,0.69,11.7,0.04,0.24,0.33,1.06,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,46.2,43.8,2.43,1.62,0.00,8.24,0.14,0.95,0.00,0.00,0.00,0.00,35.4,6.08,4.73,3.38,40.3,1.22,0.14,0.27,40.3,0.00,0.54,0.68,1.49,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,57.3,54.8,2.42,1.82,0.09,6.13,2.91,0.74,0.03,0.00,0.00,0.00,40.7,6.55,10.1,44.0,9.23,2.14,0.57,0.14,51.5,0.03,0.77,0.23,0.57,Matches
