Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touchesp90,DefPenTouchesp90,Def3rdTouchesp90,Mid3rdTouchesp90,Att3rdTouchesp90,AttPenTouchesp90,LiveTouches,SuccDribblesp90,AttDribblesp90,Succ%,#PlDribbledPastp90,Megs,Carriesp90,TotDistCarriedp90,PrgDistCarriedp90,TargetOfPassp90,RecPassp90,RecPass%,Miscontrolp90,Dispossessedp90,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,65.9,3.41,19.0,31.6,19.1,1.83,52.3,0.65,1.29,50.0,0.65,2,35.8,202.5,112.2,38.7,994,92.1,0.75,0.57,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,59.3,4.94,22.3,25.1,16.5,1.44,50.6,1.36,2.61,52.1,1.53,2,36.7,263.4,150.9,38.9,1244,88.9,1.08,1.33,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,66.3,9.14,40.4,28.6,2.18,0.96,63.6,0.75,0.93,80.8,0.75,0,42.9,274.0,153.8,45.2,1236,97.6,0.43,0.29,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,36.5,0.59,5.29,12.9,19.4,5.88,36.5,1.18,2.35,50.0,1.76,1,21.8,164.1,104.1,45.3,39,50.6,3.53,1.18,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,58.2,1.09,10.4,37.3,14.0,0.99,54.0,0.59,1.09,54.5,0.59,0,38.7,212.8,104.8,42.3,759,88.9,0.69,1.29,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,30.1,1.01,2.61,15.7,13.8,3.33,28.4,2.32,3.04,76.2,2.32,0,19.7,135.9,71.3,44.8,142,46.0,3.62,1.74,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,57.0,5.74,25.6,31.3,4.63,0.59,54.3,0.48,0.59,81.8,0.59,1,35.2,219.2,125.1,34.0,619,96.9,0.32,0.11,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,30.0,1.26,2.40,14.4,14.3,6.71,28.0,0.85,1.46,58.3,0.89,0,17.4,94.1,47.1,43.7,495,46.0,2.89,1.91,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,59.2,2.84,19.1,34.6,8.65,0.41,57.2,0.95,1.35,70.0,0.95,0,39.3,200.5,77.3,38.9,261,90.6,1.08,1.08,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,67.4,10.5,34.4,33.0,5.75,0.97,65.2,0.43,0.48,88.2,0.43,0,44.4,329.1,177.5,46.8,1600,97.5,0.23,0.20,Matches
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,35.9,0.81,2.85,16.5,19.1,5.53,35.2,1.22,2.20,55.6,1.22,1,25.0,149.3,68.4,53.4,315,47.9,3.58,2.36,Matches
