Rk,Squad,Comp,# Pl,Poss,MP,Starts,SquadMin,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
1,Alavés,es La Liga,32,41.1,38,418,3420,34,20,6,6,111,7,0.89,0.53,1.42,0.74,1.26,36.9,32.4,23.5,0.97,0.62,1.59,0.85,1.47
2,Amiens,fr Ligue 1,27,45.5,28,308,2520,31,20,3,5,57,4,1.11,0.71,1.82,1.00,1.71,26.8,22.9,16.7,0.96,0.60,1.56,0.82,1.42
3,Angers,fr Ligue 1,26,45.1,28,308,2520,27,21,1,1,42,2,0.96,0.75,1.71,0.93,1.68,27.1,26.3,20.3,0.97,0.73,1.69,0.94,1.67
4,Arsenal,eng Premier League,29,54.0,38,418,3420,56,35,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.1,46.8,30.2,1.29,0.79,2.08,1.23,2.02
5,Aston Villa,eng Premier League,28,43.9,38,418,3420,40,32,1,3,70,1,1.05,0.84,1.89,1.03,1.87,40.2,37.8,30.3,1.06,0.80,1.86,0.99,1.79
6,Atalanta,it Serie A,30,57.8,38,418,3420,96,68,7,10,80,2,2.53,1.79,4.32,2.34,4.13,82.1,74.5,53.6,2.16,1.41,3.57,1.96,3.37
7,Athletic Club,es La Liga,26,48.7,38,418,3420,40,23,8,10,90,2,1.05,0.61,1.66,0.84,1.45,38.5,31.0,23.6,1.01,0.62,1.63,0.81,1.44
8,Atlético Madrid,es La Liga,30,48.5,38,418,3420,50,35,6,8,93,3,1.32,0.92,2.24,1.16,2.08,52.5,46.4,34.4,1.38,0.90,2.28,1.22,2.13
9,Augsburg,de Bundesliga,28,38.1,34,374,3060,45,29,3,5,68,2,1.32,0.85,2.18,1.24,2.09,42.0,38.2,26.1,1.23,0.77,2.00,1.12,1.89
10,Barcelona,es La Liga,28,66.9,38,418,3420,84,62,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.3,61.9,48.3,1.75,1.27,3.02,1.63,2.90
11,Bayern Munich,de Bundesliga,29,65.6,34,374,3060,97,75,6,6,54,3,2.85,2.21,5.06,2.68,4.88,82.2,77.6,64.0,2.42,1.88,4.30,2.28,4.17
12,Betis,es La Liga,27,57.1,38,418,3420,48,35,6,8,108,9,1.26,0.92,2.18,1.11,2.03,47.3,41.3,32.1,1.24,0.84,2.09,1.09,1.93
13,Bologna,it Serie A,31,52.9,38,418,3420,48,31,5,6,109,7,1.26,0.82,2.08,1.13,1.95,53.2,48.7,36.4,1.40,0.96,2.36,1.28,2.24
14,Bordeaux,fr Ligue 1,26,53.9,28,308,2520,40,29,2,2,55,0,1.43,1.04,2.46,1.36,2.39,29.8,28.3,21.5,1.06,0.77,1.83,1.01,1.78
15,Bournemouth,eng Premier League,27,43.8,38,418,3420,38,24,4,4,78,3,1.00,0.63,1.63,0.89,1.53,42.5,39.5,27.2,1.12,0.72,1.83,1.04,1.75
16,Brescia,it Serie A,32,40.3,38,418,3420,34,22,4,4,95,6,0.89,0.58,1.47,0.79,1.37,42.6,39.6,25.5,1.12,0.67,1.79,1.04,1.71
17,Brest,fr Ligue 1,24,49.7,28,308,2520,32,27,1,5,45,2,1.14,0.96,2.11,1.11,2.07,30.2,26.4,21.0,1.08,0.75,1.83,0.94,1.69
18,Brighton,eng Premier League,25,52.2,38,418,3420,35,24,1,2,59,2,0.92,0.63,1.55,0.89,1.53,40.8,39.3,26.3,1.07,0.69,1.77,1.03,1.73
19,Burnley,eng Premier League,22,41.4,38,418,3420,41,30,3,3,67,0,1.08,0.79,1.87,1.00,1.79,43.9,41.6,27.2,1.15,0.72,1.87,1.09,1.81
20,Cagliari,it Serie A,33,45.5,38,418,3420,50,34,4,6,108,6,1.32,0.89,2.21,1.21,2.11,41.2,36.6,28.6,1.08,0.75,1.84,0.96,1.72
21,Celta Vigo,es La Liga,30,51.9,38,418,3420,37,26,6,9,104,6,0.97,0.68,1.66,0.82,1.50,37.8,31.0,25.0,0.99,0.66,1.65,0.82,1.47
22,Chelsea,eng Premier League,27,60.7,38,418,3420,69,46,7,7,60,0,1.82,1.21,3.03,1.63,2.84,66.6,61.8,46.5,1.75,1.22,2.98,1.63,2.85
23,Crystal Palace,eng Premier League,25,44.5,38,418,3420,29,20,3,3,62,2,0.76,0.53,1.29,0.68,1.21,33.7,31.6,23.4,0.89,0.62,1.50,0.83,1.45
24,Dijon,fr Ligue 1,28,46.5,28,308,2520,26,17,1,1,43,2,0.93,0.61,1.54,0.89,1.50,28.8,28.1,21.2,1.03,0.76,1.79,1.00,1.76
