Rk,Squad,Comp,# Pl,CmpSquad,AttSquad,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
1,Alavés,es La Liga,32,9724,13753,70.7,207059,86512,188,569,33.0,6880,8519,80.8,2656,4665,56.9,20,23.5,-3.5,220,751,177,50,1240
2,Amiens,fr Ligue 1,27,9607,12449,77.2,184045,69849,213,520,41.0,7216,8396,85.9,2178,3533,61.6,20,16.7,+3.3,159,721,137,41,1198
3,Angers,fr Ligue 1,26,10616,13346,79.5,203847,74730,166,492,33.7,7975,9048,88.1,2475,3806,65.0,21,20.3,+0.7,261,751,204,62,1214
4,Arsenal,eng Premier League,29,16349,19802,82.6,321171,94850,232,693,33.5,12092,13463,89.8,4025,5646,71.3,35,30.2,+4.8,285,1120,320,70,1490
5,Aston Villa,eng Premier League,28,11530,15352,75.1,242826,87405,198,587,33.7,8093,9501,85.2,3239,5264,61.5,32,30.3,+1.7,361,891,286,94,1398
6,Atalanta,it Serie A,30,18080,21650,83.5,337987,106336,298,753,39.6,14065,15627,90.0,3717,5270,70.5,68,53.6,+14.4,527,1296,479,111,1975
7,Athletic Club,es La Liga,26,12589,16607,75.8,263278,92587,218,621,35.1,8900,10458,85.1,3471,5528,62.8,23,23.6,-0.6,274,929,223,80,1431
8,Atlético Madrid,es La Liga,30,13709,17595,77.9,257089,96920,385,797,48.3,10405,11998,86.7,2919,4800,60.8,35,34.4,+0.6,329,1037,302,59,1644
9,Augsburg,de Bundesliga,28,8618,12212,70.6,182217,70964,189,606,31.2,5969,7308,81.7,2460,4298,57.2,29,26.1,+2.9,241,567,170,45,1138
10,Barcelona,es La Liga,28,24981,28213,88.5,447369,126904,514,1053,48.8,19670,21300,92.3,4797,5860,81.9,62,48.3,+13.7,383,1884,439,51,1847
11,Bayern Munich,de Bundesliga,29,20739,24240,85.6,413561,128617,276,725,38.1,15266,16854,90.6,5197,6661,78.0,75,64.0,+11.0,474,1780,510,128,2315
12,Betis,es La Liga,27,16293,19618,83.1,318818,95464,362,837,43.2,11969,13242,90.4,3962,5539,71.5,35,32.1,+2.9,348,977,340,88,1386
13,Bologna,it Serie A,31,14636,18271,80.1,283359,97440,294,733,40.1,10888,12397,87.8,3454,5141,67.2,31,36.4,-5.4,411,1181,303,73,1721
14,Bordeaux,fr Ligue 1,26,12352,14977,82.5,242901,77577,125,395,31.6,9405,10519,89.4,2822,4063,69.5,29,21.5,+7.5,210,716,125,33,1037
15,Bournemouth,eng Premier League,27,11942,15972,74.8,234438,86353,234,718,32.6,8875,10497,84.5,2833,4757,59.6,24,27.2,-3.2,267,902,259,53,1388
16,Brescia,it Serie A,32,11013,14651,75.2,220212,83497,232,684,33.9,8068,9484,85.1,2713,4483,60.5,22,25.5,-3.5,283,796,280,74,1546
17,Brest,fr Ligue 1,24,11090,13961,79.4,226492,74524,159,486,32.7,7898,8988,87.9,3033,4487,67.6,27,21.0,+6.0,243,736,214,71,1221
18,Brighton,eng Premier League,25,15696,19549,80.3,317803,103836,202,655,30.8,11487,13100,87.7,4007,5794,69.2,24,26.3,-2.3,327,1087,310,84,1624
19,Burnley,eng Premier League,22,9926,14227,69.8,203017,78567,232,645,36.0,7031,8476,83.0,2663,5106,52.2,30,27.2,+2.8,263,780,208,77,1187
20,Cagliari,it Serie A,33,13302,16870,78.9,270820,91759,208,587,35.4,9514,10851,87.7,3580,5432,65.9,34,28.6,+5.4,332,959,257,87,1417
21,Celta Vigo,es La Liga,30,14692,18402,79.8,281391,92446,329,808,40.7,11016,12510,88.1,3347,5084,65.8,26,25.0,+1.0,271,929,255,52,1363
22,Chelsea,eng Premier League,27,20664,24532,84.2,403986,114175,356,814,43.7,15312,17058,89.8,4996,6660,75.0,46,46.5,-0.5,453,1476,434,106,1877
23,Crystal Palace,eng Premier League,25,12137,15931,76.2,235489,89704,296,727,40.7,9032,10547,85.6,2809,4657,60.3,20,23.4,-3.4,252,865,256,57,1413
24,Dijon,fr Ligue 1,28,10176,12893,78.9,210506,76254,167,460,36.3,7222,8282,87.2,2787,4151,67.1,17,21.2,-4.2,238,653,179,43,1057
25,Dortmund,de Bundesliga,27,20781,24010,86.6,385238,111587,355,809,43.9,16003,17503,91.4,4423,5698,77.6,74,47.1,+26.9,347,1275,329,54,1696
26,Düsseldorf,de Bundesliga,28,11476,15049,76.3,251262,89850,191,577,33.1,7710,9113,84.6,3575,5359,66.7,26,21.8,+4.2,291,870,222,79,1422
27,Eibar,es La Liga,26,10623,15315,69.4,232440,87898,192,578,33.2,7268,8902,81.6,3163,5835,54.2,24,23.7,+0.3,276,1036,248,102,1560
28,Eint Frankfurt,de Bundesliga,27,12408,16463,75.4,256791,97578,209,686,30.5,8806,10530,83.6,3393,5247,64.7,45,38.3,+6.7,361,1015,279,118,1716
29,Espanyol,es La Liga,31,12033,16183,74.4,249549,88552,196,594,33.0,8560,10090,84.8,3277,5499,59.6,17,22.8,-5.8,275,951,246,79,1410
30,Everton,eng Premier League,24,13240,17177,77.1,281758,100651,189,657,28.8,9328,10912,85.5,3723,5608,66.4,32,30.3,+1.7,316,1039,297,85,1638
31,Fiorentina,it Serie A,33,13789,17128,80.5,272581,92060,276,688,40.1,10098,11388,88.7,3415,5052,67.6,30,35.5,-5.5,420,1008,315,91,1580
32,Freiburg,de Bundesliga,26,12089,15471,78.1,258770,88914,211,610,34.6,8290,9602,86.3,3588,5259,68.2,27,27.7,-0.7,301,830,245,97,1367
33,Genoa,it Serie A,34,14406,18083,79.7,283056,96512,287,741,38.7,10664,12060,88.4,3455,5282,65.4,28,25.5,+2.5,291,961,297,100,1488
34,Getafe,es La Liga,30,8447,13361,63.2,181642,80594,246,751,32.8,5804,7709,75.3,2397,4901,48.9,31,25.6,+5.4,274,930,278,124,1632
35,Granada,es La Liga,27,9933,13965,71.1,216931,83075,174,589,29.5,6812,8318,81.9,2947,5058,58.3,34,24.8,+9.2,256,791,185,71,1312
36,Hellas Verona,it Serie A,30,13380,17452,76.7,260915,89900,282,742,38.0,9950,11583,85.9,3148,5127,61.4,27,31.5,-4.5,326,1028,332,75,1672
37,Hertha BSC,de Bundesliga,32,11479,14844,77.3,248980,86418,200,601,33.3,7781,9099,85.5,3498,5144,68.0,35,29.2,+5.8,267,822,186,74,1232
38,Hoffenheim,de Bundesliga,31,14591,17964,81.2,285849,98111,228,641,35.6,10920,12267,89.0,3443,5056,68.1,36,33.4,+2.6,333,894,276,86,1486
39,Inter,it Serie A,29,17323,20755,83.5,346225,107740,306,772,39.6,12548,13984,89.7,4469,5999,74.5,57,45.5,+11.5,453,1282,422,102,1926
40,Juventus,it Serie A,30,20302,23369,86.9,372965,113606,438,908,48.2,15701,16974,92.5,4163,5487,75.9,47,44.1,+2.9,495,1556,368,79,1804
41,Köln,de Bundesliga,29,11293,14921,75.7,246632,93072,153,518,29.5,7586,9037,83.9,3554,5366,66.2,38,31.7,+6.3,295,824,264,86,1443
42,Lazio,it Serie A,27,16036,19310,83.0,315978,102779,423,838,50.5,11601,12983,89.4,4012,5489,73.1,45,42.2,+2.8,426,1262,409,99,1711
43,Lecce,it Serie A,30,13757,17086,80.5,277632,94283,267,687,38.9,9835,11120,88.4,3655,5279,69.2,30,30.9,-0.9,380,887,348,131,1453
44,Leganés,es La Liga,29,10467,14585,71.8,211269,84034,241,648,37.2,7559,8978,84.2,2667,4959,53.8,19,23.6,-4.6,275,879,231,97,1390
45,Leicester City,eng Premier League,24,17332,21153,81.9,333441,103821,274,748,36.6,13103,14701,89.1,3955,5704,69.3,48,43.1,+4.9,398,1244,325,85,1659
46,Levante,es La Liga,29,12463,16087,77.5,247503,91416,217,630,34.4,9177,10494,87.4,3069,4963,61.8,28,29.6,-1.6,311,892,249,77,1449
47,Leverkusen,de Bundesliga,24,19160,22816,84.0,375504,114251,316,797,39.6,14179,15753,90.0,4665,6266,74.4,48,45.1,+2.9,383,1164,263,64,1733
48,Lille,fr Ligue 1,25,11307,14068,80.4,221646,71634,211,534,39.5,8382,9536,87.9,2714,3998,67.9,25,24.8,+0.2,255,903,200,53,1219
49,Liverpool,eng Premier League,24,20887,25110,83.2,425172,125665,290,764,38.0,15123,16875,89.6,5474,7471,73.3,69,50.6,+18.4,436,1731,506,101,2154
50,Lyon,fr Ligue 1,27,13379,15881,84.2,265542,80755,202,502,40.2,9788,10871,90.0,3389,4508,75.2,29,26.0,+3.0,265,894,210,56,1307
51,M'Gladbach,de Bundesliga,25,14479,17920,80.8,288968,97674,220,641,34.3,10586,12110,87.4,3673,5169,71.1,53,48.7,+4.3,344,890,284,68,1600
52,Mainz 05,de Bundesliga,25,10302,13844,74.4,216629,82374,183,550,33.3,7135,8513,83.8,2984,4781,62.4,34,31.9,+2.1,327,821,242,69,1378
53,Mallorca,es La Liga,32,11932,15603,76.5,229896,87462,315,726,43.4,8872,10369,85.6,2745,4508,60.9,21,22.2,-1.2,294,822,224,80,1332
54,Manchester City,eng Premier League,24,24266,27672,87.7,471050,125630,294,774,38.0,18201,19843,91.7,5771,7055,81.8,69,66.4,+2.6,558,1914,604,98,2282
55,Manchester Utd,eng Premier League,29,17543,21171,82.9,324880,97583,284,786,36.1,13617,15265,89.2,3642,5120,71.1,43,37.4,+5.6,401,1361,357,52,1762
56,Marseille,fr Ligue 1,23,12013,14652,82.0,230025,73283,246,553,44.5,9028,10132,89.1,2739,3967,69.0,28,21.9,+6.1,270,860,200,61,1208
57,Metz,fr Ligue 1,24,9635,12397,77.7,191985,65392,174,440,39.5,7107,8164,87.1,2354,3793,62.1,20,18.1,+1.9,219,670,137,46,884
58,Milan,it Serie A,32,17281,20770,83.2,331896,107646,325,738,44.0,13033,14563,89.5,3923,5469,71.7,38,42.3,-4.3,469,1282,413,100,1805
59,Monaco,fr Ligue 1,28,11748,14370,81.8,227136,76735,193,497,38.8,8792,9907,88.7,2763,3966,69.7,29,32.3,-3.3,264,856,245,54,1318
60,Montpellier,fr Ligue 1,27,9682,12594,76.9,207967,79312,150,474,31.6,6669,7817,85.3,2863,4303,66.5,19,20.2,-1.2,239,820,178,63,1282
61,Nantes,fr Ligue 1,29,10599,13416,79.0,200551,69350,171,471,36.3,8182,9373,87.3,2246,3572,62.9,16,21.5,-5.5,252,756,155,48,1086
62,Napoli,it Serie A,25,21245,24509,86.7,389931,115007,386,862,44.8,16577,18007,92.1,4282,5640,75.9,45,47.7,-2.7,537,1647,441,96,1974
63,Newcastle Utd,eng Premier League,28,10502,14207,73.9,217404,81708,202,576,35.1,7549,8889,84.9,2751,4742,58.0,29,23.0,+6.0,293,766,190,67,1126
64,Nice,fr Ligue 1,31,13378,15539,86.1,255265,77762,184,437,42.1,10333,11233,92.0,2861,3869,73.9,30,21.1,+8.9,227,868,171,42,1130
65,Nîmes,fr Ligue 1,28,8173,11141,73.4,167858,63298,145,480,30.2,5830,7025,83.0,2198,3636,60.5,20,21.2,-1.2,231,662,165,55,1119
66,Norwich City,eng Premier League,30,14610,18288,79.9,270200,88175,313,764,41.0,11220,12670,88.6,3077,4854,63.4,18,26.4,-8.4,299,876,224,42,1200
67,Osasuna,es La Liga,31,11101,15681,70.8,233593,91799,200,659,30.3,7815,9591,81.5,3086,5431,56.8,26,29.1,-3.1,324,941,277,102,1594
68,Paderborn 07,de Bundesliga,27,11641,15055,77.3,246229,86651,166,636,26.1,8169,9581,85.3,3306,4838,68.3,26,24.0,+2.0,294,791,153,45,1298
69,Paris S-G,fr Ligue 1,31,16845,18987,88.7,301712,91325,300,601,49.9,13241,14263,92.8,3304,4123,80.1,51,50.9,+0.1,320,1267,395,65,1573
70,Parma,it Serie A,25,12330,15701,78.5,265390,94529,246,600,41.0,8426,9732,86.6,3658,5369,68.1,38,31.1,+6.9,327,888,238,52,1459
71,RB Leipzig,de Bundesliga,29,16395,19986,82.0,305970,105197,342,848,40.3,12528,14154,88.5,3525,4984,70.7,58,52.0,+6.0,415,1250,366,71,1856
72,Real Madrid,es La Liga,26,20329,23814,85.4,387821,114272,374,867,43.1,15256,16663,91.6,4699,6284,74.8,52,44.5,+7.5,435,1449,437,104,1786
73,Real Sociedad,es La Liga,27,16043,19925,80.5,314104,100242,253,719,35.2,12151,13837,87.8,3639,5369,67.8,38,32.6,+5.4,320,1082,340,92,1757
74,Reims,fr Ligue 1,26,10361,13063,79.3,212720,67067,166,479,34.7,7335,8413,87.2,2860,4171,68.6,16,18.2,-2.2,236,653,202,55,1119
75,Rennes,fr Ligue 1,26,10454,13053,80.1,218201,73434,144,447,32.2,7465,8501,87.8,2845,4105,69.3,26,23.7,+2.3,238,684,177,61,1097
76,Roma,it Serie A,31,16108,19367,83.2,328727,101263,191,596,32.0,11706,13044,89.7,4211,5727,73.5,47,47.2,-0.2,471,1164,357,84,1635
77,Saint-Étienne,fr Ligue 1,31,10086,13003,77.6,203122,67400,196,502,39.0,7369,8553,86.2,2521,3948,63.9,20,18.2,+1.8,213,684,137,45,1083
78,Sampdoria,it Serie A,31,12021,15815,76.0,238324,86889,267,675,39.6,8783,10198,86.1,2971,4942,60.1,25,30.3,-5.3,388,933,301,110,1524
79,Sassuolo,it Serie A,31,18700,21786,85.8,332692,101055,300,694,43.2,15036,16437,91.5,3364,4655,72.3,49,39.4,+9.6,405,1210,319,45,1526
80,Schalke 04,de Bundesliga,29,12189,15680,77.7,250577,85006,216,663,32.6,8601,10011,85.9,3372,5006,67.4,25,25.0,0.0,269,829,228,51,1459
81,Sevilla,es La Liga,26,17663,21505,82.1,358665,109956,285,740,38.5,12849,14460,88.9,4529,6305,71.8,35,32.6,+2.4,352,1264,373,123,1769
82,Sheffield Utd,eng Premier League,26,12054,16410,73.5,243261,85796,233,719,32.4,8856,10420,85.0,2965,5271,56.3,25,31.4,-6.4,266,997,295,91,1415
83,Southampton,eng Premier League,25,12481,16900,73.9,239289,84477,277,701,39.5,9427,11242,83.9,2777,4957,56.0,32,31.3,+0.7,333,983,306,70,1482
84,SPAL,it Serie A,34,13451,16899,79.6,259646,93584,224,629,35.6,10144,11440,88.7,3083,4830,63.8,17,23.1,-6.1,335,933,235,71,1408
85,Strasbourg,fr Ligue 1,25,10203,12757,80.0,221232,74489,141,408,34.6,6980,7957,87.7,3082,4392,70.2,21,23.6,-2.6,241,759,209,82,1160
86,Torino,it Serie A,27,12627,16199,77.9,260719,88037,220,625,35.2,9013,10352,87.1,3394,5222,65.0,29,26.5,+2.5,317,811,298,124,1326
87,Tottenham,eng Premier League,29,15794,19704,80.2,306118,94501,265,723,36.7,11830,13376,88.4,3699,5605,66.0,39,30.5,+8.5,327,1144,302,51,1511
88,Toulouse,fr Ligue 1,30,9428,12232,77.1,178581,66749,222,509,43.6,7159,8268,86.6,2047,3455,59.2,14,18.3,-4.3,223,618,163,56,1051
89,Udinese,it Serie A,25,13374,16803,79.6,263196,91813,257,667,38.5,9952,11249,88.5,3165,4887,64.8,26,30.5,-4.5,358,914,284,105,1445
90,Union Berlin,de Bundesliga,26,9503,13395,70.9,202882,87921,210,623,33.7,6483,8019,80.8,2810,4753,59.1,27,25.0,+2.0,260,793,191,73,1238
91,Valencia,es La Liga,28,14566,18060,80.7,296840,95710,223,537,41.5,10621,11934,89.0,3722,5589,66.6,34,29.1,+4.9,254,1016,282,70,1439
92,Valladolid,es La Liga,30,11193,15184,73.7,229913,81510,189,614,30.8,8097,9491,85.3,2907,5079,57.2,19,22.5,-3.5,253,821,166,60,1269
93,Villarreal,es La Liga,25,16361,19925,82.1,335324,104151,224,616,36.4,11695,13086,89.4,4442,6223,71.4,40,36.9,+3.1,349,1162,300,89,1566
94,Watford,eng Premier League,26,11207,15413,72.7,221942,84885,279,691,40.4,8202,9831,83.4,2726,4891,55.7,21,28.5,-7.5,287,892,267,79,1359
95,Werder Bremen,de Bundesliga,30,12978,16580,78.3,260588,90645,214,671,31.9,9451,10927,86.5,3313,4982,66.5,30,27.5,+2.5,311,921,249,75,1549
96,West Ham,eng Premier League,29,12388,16488,75.1,240756,90739,303,828,36.6,9168,10793,84.9,2917,4867,59.9,36,31.6,+4.4,318,971,259,85,1398
97,Wolfsburg,de Bundesliga,26,11716,15547,75.4,251268,92107,211,658,32.1,7944,9578,82.9,3561,5311,67.0,33,33.9,-0.9,333,915,253,79,1664
98,Wolves,eng Premier League,21,14072,17896,78.6,297656,97753,215,664,32.4,9815,11411,86.0,4042,5821,69.4,34,32.3,+1.7,327,1015,230,81,1410
