Rk,Squad,Comp,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
1,Alavés,es La Liga,32,41.1,17992,2141,6134,8850,3878,563,16042,250,466,53.6,277,14,9417,53334,26549,12391,9724,78.5,458,386
2,Amiens,fr Ligue 1,27,45.5,15903,1660,4991,8238,3582,415,14501,283,476,59.5,317,20,9853,53381,28763,11622,9628,82.8,409,426
3,Angers,fr Ligue 1,26,45.1,16741,1448,5350,8130,4356,592,15332,344,558,61.6,367,26,10806,62209,34352,12508,10616,84.9,386,358
4,Arsenal,eng Premier League,29,54.0,24196,2926,8613,11497,5714,934,22390,429,712,60.3,456,35,16310,97524,55338,18851,16349,86.7,448,451
5,Aston Villa,eng Premier League,28,43.9,19827,2769,7305,8467,5350,783,17902,368,584,63.0,404,25,11555,74823,39558,14087,11530,81.8,409,428
6,Atalanta,it Serie A,30,57.8,26357,2038,7049,12944,8153,1268,24559,410,697,58.8,440,32,18048,107606,57649,20463,18080,88.4,458,468
7,Athletic Club,es La Liga,26,48.7,20945,2191,6617,10445,5181,655,19036,342,567,60.3,374,22,12246,72999,39833,15307,12589,82.2,468,398
8,Atlético Madrid,es La Liga,30,48.5,22042,2034,6513,11157,5571,876,20176,350,585,59.8,372,18,13465,71848,38363,16316,13709,84.0,519,396
9,Augsburg,de Bundesliga,28,38.1,16354,2509,6700,7045,3534,569,14630,251,488,51.4,284,19,9156,55661,29047,11083,8618,77.8,424,390
10,Barcelona,es La Liga,28,66.9,32097,2720,8347,16677,9213,1180,30469,512,822,62.3,543,27,23591,124502,70749,27495,24981,90.9,392,366
11,Bayern Munich,de Bundesliga,29,65.6,28045,2149,7738,14375,7803,1317,26380,521,834,62.5,565,28,20155,112334,60759,23353,20739,88.8,444,377
12,Betis,es La Liga,27,57.1,23919,2708,8180,11426,5889,940,21926,447,690,64.8,481,27,16013,94512,52407,18548,16293,87.8,490,404
13,Bologna,it Serie A,31,52.9,22942,2524,7206,10874,6303,886,21030,428,720,59.4,461,22,14603,90218,49797,17123,14634,85.5,464,440
14,Bordeaux,fr Ligue 1,26,53.9,18354,1879,6061,10294,3160,431,17004,283,479,59.1,314,15,12388,68376,35734,14141,12352,87.3,358,401
15,Bournemouth,eng Premier League,27,43.8,20687,2739,7757,8699,5398,834,18879,362,648,55.9,396,28,12186,73827,38855,14684,11942,81.3,522,437
16,Brescia,it Serie A,32,40.3,19036,2728,7370,8129,4745,734,17022,320,517,61.9,342,15,11120,71961,39807,13481,11012,81.7,417,392
17,Brest,fr Ligue 1,24,49.7,17433,2165,6599,7977,3966,528,15987,229,412,55.6,248,16,11199,63496,33907,13039,11090,85.1,378,335
18,Brighton,eng Premier League,25,52.2,24066,2875,8783,10590,6196,883,22325,361,599,60.3,380,21,15610,91751,47720,18478,15696,84.9,474,512
19,Burnley,eng Premier League,22,41.4,18704,2365,5993,8774,4845,659,16886,270,472,57.2,292,18,9851,55581,27135,12820,9926,77.4,406,355
20,Cagliari,it Serie A,33,45.5,21166,2763,7688,9811,5141,655,19293,366,564,64.9,390,12,13348,83497,45388,15653,13302,85.0,414,445
21,Celta Vigo,es La Liga,30,51.9,22702,2428,7514,11367,5176,679,20821,367,596,61.6,390,16,14522,84074,44001,17193,14692,85.5,460,450
22,Chelsea,eng Premier League,27,60.7,29171,2484,8815,14257,7920,1206,27383,465,718,64.8,497,14,20509,113128,61622,23597,20664,87.6,474,479
23,Crystal Palace,eng Premier League,25,44.5,20780,2485,7320,9546,5125,907,18844,447,713,62.7,473,24,12376,72789,38610,14788,12134,82.1,507,555
24,Dijon,fr Ligue 1,28,46.5,16420,1976,6250,7906,3324,538,15029,355,609,58.3,393,17,10406,63177,35127,12059,10180,84.4,351,392
25,Dortmund,de Bundesliga,27,61.0,27903,2183,8548,14302,6859,980,26352,504,829,60.8,546,40,20140,109153,58150,23240,20781,89.4,437,420
26,Düsseldorf,de Bundesliga,28,45.4,18882,2196,6989,8308,4638,626,17183,294,490,60.0,315,10,11508,62828,34741,13976,11476,82.1,411,362
27,Eibar,es La Liga,26,46.3,19711,1879,5278,9802,5668,704,17635,260,439,59.2,284,16,10552,60323,29261,13748,10623,77.3,526,401
28,Eint Frankfurt,de Bundesliga,27,51.0,20518,2148,6654,10030,5131,844,18763,346,568,60.9,367,19,12398,75997,42392,15261,12408,81.3,412,361
29,Espanyol,es La Liga,31,47.3,20407,2255,6895,10188,4489,652,18543,288,506,56.9,314,15,11941,71733,38177,14837,12033,81.1,483,375
30,Everton,eng Premier League,24,49.2,21843,2699,7590,9927,5595,889,20004,391,633,61.8,428,31,13247,78958,41901,16043,13240,82.5,490,472
31,Fiorentina,it Serie A,33,47.3,21656,2399,7027,10271,5861,979,19841,472,728,64.8,502,23,14059,89160,52017,16131,13789,85.5,463,466
32,Freiburg,de Bundesliga,26,47.9,19652,2772,7746,8667,4539,733,17866,276,483,57.1,294,16,12224,76437,41750,14286,12093,84.6,410,387
33,Genoa,it Serie A,34,49.5,22396,2972,8104,10344,5265,761,20470,361,615,58.7,392,23,14382,81968,43216,16818,14406,85.7,427,434
34,Getafe,es La Liga,30,44.6,17760,1588,4715,8406,5416,717,15556,262,448,58.5,289,13,8692,50038,25409,11587,8447,72.9,521,408
35,Granada,es La Liga,27,43.7,18072,2365,6249,8417,4361,612,16138,303,520,58.3,328,22,10152,60106,31260,12437,9933,79.9,443,343
36,Hellas Verona,it Serie A,30,49.8,21760,2507,6777,10796,5594,840,19880,376,619,60.7,404,25,13361,82835,44238,16184,13386,82.7,426,332
37,Hertha BSC,de Bundesliga,32,44.7,19059,2390,7281,8956,4051,569,17469,391,594,65.8,412,18,11846,73288,39870,13820,11479,83.1,444,401
38,Hoffenheim,de Bundesliga,31,51.9,22071,2697,8705,10203,4512,780,20394,309,535,57.8,331,15,13902,77383,42343,16826,14591,86.7,417,411
39,Inter,it Serie A,29,54.2,24871,2662,7964,11912,6605,1133,23147,333,524,63.5,360,11,16631,95547,53867,19769,17323,87.6,398,370
40,Juventus,it Serie A,30,58.3,27690,2192,6983,14382,8110,998,25948,439,687,63.9,469,20,18744,101093,55981,22471,20302,90.3,424,380
41,Köln,de Bundesliga,29,46.7,19176,2370,7269,8595,4453,682,17445,291,495,58.8,315,12,11332,67700,34899,13813,11293,81.8,489,352
42,Lazio,it Serie A,27,50.5,23467,2634,7646,10923,6707,1058,21854,397,636,62.4,436,23,16153,105079,61406,18184,16036,88.2,429,372
43,Lecce,it Serie A,30,44.6,21337,2985,8158,9452,5167,824,19546,325,512,63.5,350,19,13326,83608,48026,15992,13757,86.0,380,365
44,Leganés,es La Liga,29,43.8,18956,1869,5893,9224,4875,703,17013,341,576,59.2,378,27,10795,62424,32527,13104,10467,79.9,454,382
